HourInterval,num_of_accident
00:00:00 - 00:59:59,2
01:00:00 - 01:59:59,6
02:00:00 - 02:59:59,6
03:00:00 - 03:59:59,5
04:00:00 - 04:59:59,3
05:00:00 - 05:59:59,2
06:00:00 - 06:59:59,9
07:00:00 - 07:59:59,16
08:00:00 - 08:59:59,9
09:00:00 - 09:59:59,15
10:00:00 - 10:59:59,14
11:00:00 - 11:59:59,28
12:00:00 - 12:59:59,42
13:00:00 - 13:59:59,17
14:00:00 - 14:59:59,30
15:00:00 - 15:59:59,36
16:00:00 - 16:59:59,34
17:00:00 - 17:59:59,32
18:00:00 - 18:59:59,19
19:00:00 - 19:59:59,41
20:00:00 - 20:59:59,18
21:00:00 - 21:59:59,9
22:00:00 - 22:59:59,10
23:00:00 - 23:59:59,11
